,name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
60,Ignorantes,YHLQMDLG,Bad Bunny,2020-02-28,210606,78,0.267,0.85,0.536,3.89e-05,0.0996,-5.161,0.0599,96.029,4
61,Praise The Lord (Da Shine) (feat. Skepta),TESTING,A$AP Rocky,2018-05-25,205040,80,0.0609,0.854,0.569,0.0816,0.1,-8.151,0.106,80.015,4
62,Bombie 4 Sale,Bombie 4 Sale,Jettison Bombardier,2017-10-12,228000,12,0.00394,0.691,0.659,3.54e-06,0.127,-7.436,0.327,159.9,4
63,Tempo,Tempo,Coolassppl,2019-02-22,243159,9,0.00708,0.747,0.686,0.0,0.103,-6.235,0.235,167.905,4
64,8 Weeks,8 Weeks,Jden Ray,2020-05-14,171890,18,0.0334,0.593,0.791,0.033,0.476,-6.412,0.216,110.866,5
65,LOYAL (feat. Drake),LOYAL (feat. Drake),PARTYNEXTDOOR,2019-11-22,197973,59,0.517,0.866,0.53,0.00159,0.0946,-6.347,0.0495,104.952,4
66,Alien,Alien,Coolassppl,2019-10-27,205166,10,0.0401,0.713,0.535,0.0,0.314,-9.185,0.206,124.027,4
67,Really Nervous,Really Nervous,Luke Wild,2018-12-28,178024,0,0.154,0.41,0.466,4.77e-06,0.35,-10.326,0.0396,75.057,4
68,Thief Ah Whine (feat. Nashoo),Thief Ah Whine (feat. Nashoo),Reime Schemes,2018-11-06,238800,0,0.148,0.536,0.783,0.0,0.139,-5.468,0.297,99.601,4
69,Hold Them Close,Hold Them Close,Benin City,2020-05-18,198000,5,0.254,0.602,0.787,0.602,0.101,-9.496,0.0386,160.021,4
70,DEVASTATED,ALL-AMERIKKKAN BADA$$,Joey Bada$$,2017-04-07,207058,21,0.0634,0.812,0.628,0.0,0.254,-6.164,0.0682,123.004,4
71,Sometimes,Sometimes,Coolassppl,2020-02-21,240027,13,0.806,0.785,0.542,0.0,0.111,-5.956,0.195,119.992,4
72,ATM,ATM,Nyron,2019-08-16,263750,4,0.0501,0.7,0.534,5.78e-05,0.13,-9.257,0.0524,144.019,4
73,Midnight,Midnight,Siobhan Sainte,2017-09-22,187811,21,0.0115,0.651,0.639,0.568,0.0711,-5.635,0.0676,82.499,4
74,Not A Radio Song,A 20 Something Fuck,Two Feet,2018-10-05,92853,45,0.537,0.529,0.712,0.413,0.0865,-5.428,0.0347,140.123,4
75,Prize,Prize,Coolassppl,2019-10-04,258351,9,0.0671,0.677,0.592,0.0,0.143,-7.484,0.2,86.695,4
76,Brown Paper Bag,Brown Paper Bag (Maxi),Yoshi Flower,2018-09-07,188474,44,0.00334,0.59,0.779,0.0,0.152,-5.417,0.073,154.855,3
77,Same Ones,Same Ones,Easy Ell,2019-12-06,277359,9,0.445,0.753,0.692,0.0,0.219,-8.63,0.248,120.082,4
78,Laylow - Yeartokill,Laylow - Yeartokill,YTK,2020-02-28,137195,12,0.265,0.679,0.556,0.0,0.214,-6.693,0.162,140.19,4
79,Ghost,Ghost,Coolassppl,2020-02-27,246688,18,0.485,0.711,0.845,0.0,0.402,-2.601,0.186,72.048,4
80,W.Y.N,W.Y.N,Shavacc,2020-02-16,194664,4,0.138,0.822,0.525,0.0,0.085,-6.279,0.195,138.03,4
81,Never Land - Live,Live from Lockdown,Jabriel,2020-05-01,198031,10,0.566,0.574,0.795,0.0,0.267,-4.847,0.0621,79.862,4
82,Can't Complain,Can't Complain,A.Heard,2018-07-19,216666,7,0.00884,0.576,0.784,0.0,0.0925,-6.736,0.238,204.032,3
83,Say I Didn't,The Autobiography,VIC MENSA,2017-07-28,315173,49,0.247,0.513,0.76,0.0,0.239,-5.078,0.294,91.832,4
84,Wayside,Wayside,A.Heard,2018-11-02,281054,11,0.105,0.902,0.565,3.53e-06,0.152,-8.183,0.264,117.009,4
85,Lie Awake,Lie Awake,Easy Ell,2020-05-29,182400,2,0.456,0.578,0.334,0.008,0.102,-12.702,0.134,75.017,4
86,Gucci - Live,Live from Lockdown,Jabriel,2020-05-01,198734,9,0.7,0.448,0.941,0.0,0.416,-4.209,0.552,156.759,4
87,No Discussion,No Discussion,A.Heard,2018-09-14,230235,15,0.0312,0.466,0.839,0.0,0.0648,-3.759,0.314,202.493,4
88,Stuck on You,Manifest,Jabriel,2019-05-19,234500,9,0.00393,0.635,0.86,0.0,0.0695,-5.232,0.0817,91.989,4
89,Shine,Shine,Childish Major,2018-12-26,195866,41,0.0993,0.735,0.665,2.73e-06,0.421,-5.232,0.0453,76.029,4
90,Complicated,Nights on Pennel Drive,Coolassppl,2019-08-16,200306,8,0.45,0.643,0.393,2.64e-06,0.0768,-16.484,0.117,144.91,4
91,Bussin' Moves,Bussin' Moves,Nyron,2020-03-26,193052,4,0.151,0.852,0.444,0.0,0.0899,-11.289,0.118,138.046,4
92,Thrown Off,Thrown Off,A.Heard,2018-01-19,216037,3,0.021,0.607,0.8,0.0,0.0842,-7.115,0.341,97.271,4
93,Drop Me Off In The Sky,Drop Me Off In The Sky,Luke Wild,2020-03-04,199658,33,0.151,0.843,0.573,4.55e-05,0.104,-6.285,0.0345,117.013,4
94,Cool with Me,Cool with Me,Jonah Lyon,2020-04-20,236883,5,0.462,0.715,0.534,0.0,0.0898,-9.314,0.416,153.666,4
95,Purple,Purple,Lorine Chia,2018-07-18,163560,11,0.0351,0.813,0.682,0.0,0.159,-6.092,0.0456,143.163,4
96,Feel Good Days,Feel Good Days,Jettison Bombardier,2018-02-02,292129,0,0.0295,0.599,0.515,0.0,0.653,-8.331,0.416,161.896,4
97,Ace Em,Ace Em,Carlton Carvalho,2020-05-24,170213,7,0.411,0.442,0.845,0.0,0.0752,-6.666,0.332,156.312,4
